movie,sentence,score
스트레인지 월드,일요일 조조 대관하고 옴,5
올빼미,전개는 다소 급한 부분이 있으나 간만에 나온 영화다운 한국영화 ,9
올빼미,존잼이다아아아ㅏㅏㅏ,10
올빼미,재밋게 잘 봤습니다박명훈님 눈이 너무 커서 렌즈가 다보였어요 ㅋㅋ조선시대 렌즈 ,8
올빼미,올빼미 영화 통해서 류준열 배우가 유해진 배우와 같이 믿고보는 배우가 된 것 같아요. 경수 그 자체였어요. 보는 내내 너무 긴장되고.. 약간은 무서웠어요. 그리고 유해진 배우는.. 왜 최고 인지 다시 한 번 느낀 영화였습니다. 표정으로도 몰입을 하게 만드는 영화였어요. ,10
올빼미,꿀잼꿀잼꿀잼개꿀잼.,10
올빼미,올해 최고의 영화.. 연기력과 스토리 완성도 훌륭합니다.,10
데시벨,어휴... 신파 한시간 실화냐? 이거 투자자 작품이야 감독 머리에서 나온거야? 축구장에서 돈 많이 써서 잠수함씬만 잔득 넣은거야? 이럴거면 그냥 연극을 찍지 그랬수?ㅋㅋㅋ,1
올빼미,너무 잼있어서 지인들에게 다 추천중,10
올빼미,최고의 영화~~~어떻게 사극이 이렇게 흥미진진할수 있죠?꼭 보세요~또 보고 싶네요^^류준열ㆍ유해진. 배우소현세자ㆍ원손 연기 최고. 최고네요~~,10
올빼미,오랜만에 시간 가는 줄 모르고 본 영화!!!  가족과 함께 한번 더 볼 예정이예요,10
올빼미,극장이 추운 줄 알았다. 두 시간 중 90분은 온 몸에 소름이 돋아서. ,10
올빼미,재밋음 광해느낌 평점은 한 9.2 정도후회없고 요즘 볼만한 영화도없는데가서 보려면 그냥 이거보셈감동 스릴 재미 흥미 연출 다 괜찮음  추천,10
올빼미,웬만하면 이런거 진짜 안쓰는데 또 다시 보고싶을 정도로 심장 쫄깃하게 본 영화... 사극 안 좋아하는 사람들도 무조건 재밌게 볼 수 있으리라고 장담함.,10
올빼미,믿고 보는 류준열.왕 역할 발탁이 신선했지만 감출수 없는 연기력의 유해진.간만에 재밌게 잘 봤습니다.,10
데시벨,아쉬운시도와 소재이야기,7
올빼미,소름 여러번 끼치면서 봤어요~ 연출력과 연기력! 너무 재미있게 봤습니다. 다보고 실제 역사를 찾아보기도 하고..ㅜㅜ 올빼미 보시며 연말 나시는 것 추천드려용ㅋㅋㅋ,10
올빼미,정말 예측불허한 영화 스토리가 너무 재미있어요!!,10
올빼미,소름돋는장면 잊혀지지않음요 놀라서 소리지르고 진짜 짜릿한영화,10
올빼미,진짜 너무 재밌고 흥미 진진하고 시간 하나도 아깝지 않을 영화 2시간내내 지루하지 않고 몰입하면 봤네요! 근데 이건 류준열 단독 주인공 같아요! ,10
올빼미,뭔가 살짝 빠진 느낌은 들지만 흥미진진하고 몰입감 좋음.,9
올빼미,재미없음 잠오는 영화였어요,2
올빼미,지루할까 걱정했는데 전혀 그렇지 않고 재밌네요,10
올빼미,굿럭키큰?네수고하세요네수고하세요네수고하세요,10
데시벨,제목이 데시벨이어야 했을 필요가 점점 사라진다.,5
데시벨,불편한 서스펜스의 향연  이걸 즐겨 말어,6
데시벨,불편한 서스펜스의 향연  이걸 즐겨 말어,6
올빼미,소재도 신선했고 재미있게 봤음,10
동감,19년 살면서 영화관에서 영화보다 처음으로 잠들었어요,1
올빼미,올해 최고의 영호ㅏ 연기력 뮤엇 ! ,10
스트레인지 월드,제이크 질렌할 목소리 연기 좋아요,10
블랙 팬서: 와칸다 포에버,새로운 블랙팬서의 등장... 그 뒤의 새롭게 클 진정한 블랙팬서의 등장까지...,10
올빼미,감동 스릴이 절묘하게 조화로운 전통드라마,10
올빼미,재미있게 봤습니다 믿고보는 유해진배우,10
